,이름,주소
295,용인기흥롯데프리미엄아울렛점,경기 용인시 기흥구 신고매로 124 지하1층(지번) 고매동 280
296,네트서브웨이,서울 서초구 효령로 304(지번) 서초1동 1445-3
297,써브웨이미용실 본점,서울 강남구 광평로 280(지번) 수서동 724
298,수원능실점,경기 수원시 권선구 호매실로104번길 24-43(지번) 호매실동 1401
299,서브웨이당구장,서울 강동구 양재대로 1477 지하1층(지번) 길동 389-5
300,평택로데오점,경기 평택시 중앙2로 16(지번) 평택동 298-1
301,평택비전점,"경기 평택시 비전5로 15 강일타운 1층 127,128호(지번) 비전동 1091-3"
302,서브웨이묵동,서울 중랑구 동일로 952(지번) 묵동 169-12
303,당진읍내점,충남 당진시 당진중앙2로 127 금화빌딩 1층 101호(지번) 읍내동 225-1
304,평택고덕점,경기 평택시 고덕여염9길 40 1층(지번) 고덕동 2158-4
305,서산호수공원점,충남 서산시 호수공원12로 26(지번) 예천동 1273-1
306,천안두정점,충남 천안시 서북구 두정로 165(지번) 두정동 974
307,안성중앙점,경기 안성시 중앙로 401(지번) 동본동 34
308,천안성정점,충남 천안시 서북구 동서대로 150(지번) 성정동 625-1
309,천안신부점,충남 천안시 동남구 만남로 22(지번) 신부동 454-7
310,천안쌍용점,충남 천안시 서북구 월봉로 79(지번) 쌍용동 1545
311,아산온양점,충남 아산시 온궁로 24-2(지번) 온천동 211-1
312,천안역점,충남 천안시 동남구 대흥로 228 삼영빌딩 104호(지번) 대흥동 80
313,천안충무로점,충남 천안시 서북구 충무로 201(지번) 쌍용동 202-7
314,천안청수점,충남 천안시 동남구 청수11로 16(지번) 청당동 512
315,청주충북대점,충북 청주시 서원구 1순환로 676(지번) 사창동 481
316,청주대점,충북 청주시 청원구 대성로 301(지번) 우암동 227-5
317,천안신불당점,충남 천안시 서북구 불당21로 65(지번) 불당동 1538
318,디비써브(동탄목동점,경기 화성시 동탄신리천로 411(지번) 목동 산 18
319,아산배방점,충남 아산시 배방읍 모산로 123(지번) 배방읍 공수리 1663
320,세종정부청사점,세종특별자치시 절재로 194 중앙타운 1층 113호(지번) 어진동 547
321,아산터미널점,충남 아산시 번영로224번길 4(지번) 모종동 566-2
322,천안백석점,충남 천안시 서북구 동서대로 47 1층(지번) 두정동 626
323,서브웨이동탄나루점,경기 화성시 동탄솔빛로 48(지번) 반송동 217-6
324,공주신관점,충남 공주시 흑수골길 35(지번) 신관동 17-4
325,서브웨이 처인점,경기 용인시 처인구 명지로 17(지번) 역북동 722-1
326,세종시청점,세종특별자치시 한누리대로 2144(지번) 보람동 721
327,대전관평점,대전 유성구 관들1길 49(지번) 관평동 828
328,대전충남대정문점,대전 유성구 한밭대로 414(지번) 궁동 482-3
329,대전노은점,대전 유성구 노은로 150(지번) 지족동 905-3
330,대전유성터미널점,대전 유성구 계룡로 42-1(지번) 봉명동 566-4
331,대전궁동점,대전 유성구 궁동로18번길 10(지번) 궁동 413-4
332,대전월평선사점,대전 서구 월평북로 95(지번) 월평동 241
333,대전둔산점,대전 서구 둔산로 18(지번) 둔산동 1081
334,대전시청점,대전 서구 둔산로 130 1층 111호(지번) 둔산동 1453
335,대전탄방점,대전 서구 문정로 88 1층(지번) 탄방동 753
336,대전오류점,대전 중구 계백로 1715 102호(지번) 오류동 154-6
337,대전한남대점,대전 대덕구 한남로25번길 5(지번) 오정동 223-26
338,대전은행점,대전 중구 대종로488번길 25(지번) 은행동 48-20
339,대전용문점,대전 서구 계룡로 626(지번) 용문동 589-8
340,대전전민점,대전 유성구 유성대로 1732(지번) 전민동 304-4
341,대전관저점,대전 서구 관저로 142(지번) 관저동 1515
342,대전목원대점,대전 서구 도안북로93번길 31(지번) 도안동 848
